# Step	AvgQ	AvgP
330	-0.0513598	0.0122954
331	-0.0513598	-0.0629776
332	-0.0505361	-0.0134262
333	-0.0505361	0.140125
334	-0.0529793	0.0519933
335	-0.0529793	-0.0643457
336	-0.0538615	0.0208566
337	-0.0538615	-0.0872479
338	-0.0568573	0.0632666
339	-0.0568573	-0.0304984
340	-0.0568573	-0.00084021
341	-0.0568573	0.0134665
342	-0.0610061	0.0865513
343	-0.0610061	0.039353
344	-0.065509	0.0938977
345	-0.0614158	-0.078099
346	-0.0614158	0.00827156
347	-0.0646957	0.0694117
348	-0.0646957	0.0231087
349	-0.0646957	0.0755912
350	-0.0646957	-0.0701564
351	-0.0646957	-0.0168607
352	-0.0646957	0.0343593
353	-0.064185	-0.00635335
354	-0.064185	-0.0180776
355	-0.0595383	-0.0892727
356	-0.0562186	-0.0629559
357	-0.0580148	0.0393666
358	-0.0580148	0.00899026
359	-0.0580148	-0.0468234
360	-0.0594786	0.0328141
361	-0.0594786	-0.109313
362	-0.0588189	-0.00965392
363	-0.0588189	-0.0674898
364	-0.0616151	0.0595634
365	-0.0635254	0.0419791
366	-0.0582527	-0.101856
367	-0.0618105	0.0747919
368	-0.0654153	0.075947
369	-0.0654153	0.00258089
370	-0.0601173	-0.10225
371	-0.0601173	0.0104037
372	-0.0604019	0.00930928
373	-0.0597724	-0.00899268
374	-0.0551075	-0.0899009
375	-0.0551075	0.0186332
376	-0.0551075	-0.0805633
377	-0.0551075	-0.00286105
378	-0.0583561	0.0684073
379	-0.0595392	0.0272085
380	-0.0618082	0.0490425
381	-0.060965	-0.0131923
382	-0.060965	-0.0193365
383	-0.0620926	0.0262543
384	-0.0629136	0.0201765
385	-0.0672734	0.0911431
386	-0.0672734	-0.102174
387	-0.0668591	-0.00426726
388	-0.0661718	-0.00976377
389	-0.0644137	-0.0312638
390	-0.0655971	0.0275778
391	-0.0655971	-0.107464
392	-0.0655971	-0.146349
393	-0.0655971	0.0582932
394	-0.0596606	-0.115035
395	-0.0596606	-0.00915495
396	-0.0586361	-0.0169524
397	-0.0622846	0.0766316
398	-0.0622846	-0.156792
